元index,行番号,対象カラム,テキスト原文,正規化テキスト,検出通貨,為替適用,和単位セグメント,英単位セグメント,期待値_JPY,プロジェクトコスト_計画時_int_raw,プロジェクトコスト_計画時_int_num,比率_int/期待,判定,疑い理由,file,log10_int,robust_z_int,分布外れ値_flag(abs_z>3.5),プロジェクトコスト_実績_int_raw,プロジェクトコスト_実績_int_num
1639,1639,プロジェクトコスト_実績,"35,967百万円","35,967百万円",JPY,1.0,"[{'num': 35967.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 35967000000.0}]",[],35967000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXI-P117_4_f.pdf,10.555904214916625,3.0270133404002673,False,35967000000,35967000000.0
1640,1640,プロジェクトコスト_実績,"18,660百万円","18,660百万円",JPY,1.0,"[{'num': 18660.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 18660000000.0}]",[],18660000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_CXXI-P124_4_f.pdf,10.270911639410482,2.5150135525294766,False,18660000000,18660000000.0
1641,1641,プロジェクトコスト_実績,"62,285百万円","62,285百万円",JPY,1.0,"[{'num': 62285.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 62285000000.0}]",[],62285000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXI-P123_4_f.pdf,10.794383468784465,3.4554502116944352,False,62285000000,62285000000.0
1642,1642,プロジェクトコスト_実績,"5,857百万円","5,857百万円",JPY,1.0,"[{'num': 5857.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 5857000000.0}]",[],5857000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXI-P114_4_f.pdf,9.76767522402796,1.6109305690794222,False,5857000000,5857000000.0
1643,1643,プロジェクトコスト_実績,"15,766百万円","15,766百万円",JPY,1.0,"[{'num': 15766.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 15766000000.0}]",[],15766000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXI-P114_4_f.pdf,10.197721522226866,2.383524778108958,False,15766000000,15766000000.0
1644,1644,プロジェクトコスト_実績,"27,757百万円","27,757百万円",JPY,1.0,"[{'num': 27757.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 27757000000.0}]",[],27757000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXI-P113_4_f.pdf,10.44337252540488,2.824845964438177,False,27757000000,27757000000.0
1645,1645,プロジェクトコスト_実績,"9,952百万円","9,952百万円",JPY,1.0,"[{'num': 9952.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 9952000000.0}]",[],9952000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXI-P115_4_f.pdf,9.997910367346744,2.0245565883898027,False,9952000000,9952000000.0
1646,1646,プロジェクトコスト_実績,"3,375百万円","3,375百万円",JPY,1.0,"[{'num': 3375.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 3375000000.0}]",[],3375000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXI-P115_4_f.pdf,9.528273777167044,1.1808369436891462,False,3375000000,3375000000.0
1647,1647,プロジェクトコスト_実績,"17,067百万円","17,067百万円",JPY,1.0,"[{'num': 17067.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 17067000000.0}]",[],17067000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXI-P116_4_f.pdf,10.232157188487434,2.445389736483007,False,17067000000,17067000000.0
1648,1648,プロジェクトコスト_実績,"19,197百万円","19,197百万円",JPY,1.0,"[{'num': 19197.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 19197000000.0}]",[],19197000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXI-P126_4_f.pdf,10.283233364888753,2.537149991767842,False,19197000000,19197000000.0
1649,1649,プロジェクトコスト_実績,"9,218百万円","9,218百万円",JPY,1.0,"[{'num': 9218.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 9218000000.0}]",[],9218000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXX-P103_4_f.pdf,9.964636703788502,1.9647792111958589,False,9218000000,9218000000.0
1650,1650,プロジェクトコスト_実績,"26,512百万円","26,512百万円",JPY,1.0,"[{'num': 26512.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 26512000000.0}]",[],26512000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXX-P96_4_f.pdf,10.423442491075262,2.7890409146718813,False,26512000000,26512000000.0
