No,file,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,効率性_コスト,効率性_期間,事業形態,分野,案件名
118,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,1,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2010年5月,2017年3月,2010年6月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
119,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,2,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2011年10月,2017年3月,2011年11月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
120,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,3,ベトナム,2019,OPMAC 株式会社,飯田利久,"15,000百万円","15,000百万円",2013年3月,2017年3月,2013年3月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
121,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,4,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2014年3月,2017年3月,2014年3月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
122,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,5,ベトナム,2019,OPMAC 株式会社,飯田利久,"15,000百万円","15,000百万円",2015年3月,2017年3月,2015年3月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
123,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,6,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2016年1月,2017年3月,2016年3月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
124,https://www2.jica.go.jp/ja/evaluation/pdf/2019_VN-C23_4_f.pdf,7,ベトナム,2019,OPMAC 株式会社,飯田利久,"10,000百万円","10,000百万円",2017年1月,2017年3月,2017年1月,2017年3月,,,,,有償,開発計画一般、環境問題,気候変動対策支援プログラムローン（VII）
125,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1302197_4_f.pdf,1,バングラデシュ,2020,バングラデシュ事務所,,324百万円,316百万円,2014年5月,2015年9月,2014年5月,2016年11月,17,31,98%,172%,技協,都市交通,ダッカ市都市交通戦略計画改訂プロジェクト
126,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0900545_4_f.pdf,1,インド,2020,インド事務所,,488百万円,486百万円,2010年7月,2015年6月,2010年7月,2015年6月,60,60,100%,100%,技協,気象・地震,自然災害の減災と復旧のための情報ネットワーク構築に関する研究
127,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1000181_4_f.pdf,1,フィリピン,2020,フィリピン事務所,,263百万円,264百万円,2013年3月,2017年3月,2013年3月,2017年3月,48,48,100%,100%,技協,農産加工,地場産品競争力強化のための包装技術向上プロジェクト
128,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1402128_4_f.pdf,1,フィリピン,2020,OPMAC 株式会社,中井なほみ、宮崎慶司,499百万円,504百万円,2014年8月,2016年12月,2014年11月,2017年12月,29,37,101%,128%,技協,開発計画一般,包括的PPP能力強化プロジェクト
129,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1161600_4_f.pdf,1,フィリピン,2020,OPMAC 株式会社,三島光恵,10.05億円,10.11億円,2012年3月,2015年2月,2012年3月,2015年10月,36,44,100.60%,122%,無償,気象・地震,広域防災システム整備計画
130,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1360930_4_f.pdf,1,ヨルダン,2020,株式会社かいはつマネジメント・コンサルティング,田村智子,660百万円,649百万円,2013年12月,2016年12月,2013年12月,2017年5月,37,42,98%,114%,無償,上水道、下水道,北部地域シリア難民受入コミュニティ水セクター緊急改善計画
131,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1360930_4_f.pdf,2,ヨルダン,2020,株式会社かいはつマネジメント・コンサルティング,田村智子,"2,513百万円","2,501百万円",2014年3月,2016年9月,2014年3月,2017年5月,30,39,100%,130%,無償,上水道、下水道,北部地域シリア難民受入コミュニティ水セクター緊急改善計画
132,https://www2.jica.go.jp/ja/evaluation/pdf/2020_ID-P196_4_f.pdf,1,インド,2020,OPMAC 株式会社,宮崎慶司,"9,824百万円","10,507百万円",2008年3月,2013年6月,2008年3月,2021年11月,64,165,78%,239%,有償,上水道、下水道,タミルナドゥ州都市インフラ整備事業
